,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1455,12,2016,27950,3,67181,1,200,47.9,3.0
323,11,2016,21498,3,20547,1,200,47.1,2.0
10278,1,2016,11300,2,24426,1,0,76.3,1.6
310,1,2016,11000,2,10491,3,0,67.3,1.0
1491,3,2016,14298,2,29709,3,20,60.1,1.4
1495,11,2016,29998,3,42167,1,235,42.2,3.0
1496,3,2016,13998,2,19048,3,20,60.1,1.0
1497,5,2016,16998,3,65483,1,150,56.5,2.0
9202,3,2016,13500,2,68310,1,20,65.7,2.0
1500,10,2016,18450,2,17067,3,145,49.6,1.4
1490,3,2016,14998,2,41049,1,20,65.7,2.0
1505,1,2016,12298,2,23718,3,30,56.5,1.4
1509,10,2016,15998,2,31649,1,30,60.1,2.0
1510,3,2016,13290,2,15056,3,125,53.3,1.4
10296,10,2016,16800,1,34811,1,145,52.3,2.0
9185,3,2016,8000,2,96300,1,20,68.9,2.0
10300,20,2016,19300,3,34500,3,200,40.9,2.0
9183,7,2016,19990,1,48669,1,125,61.4,3.0
1519,1,2016,9578,2,42391,1,0,76.3,1.6
10289,4,2016,15600,2,19825,1,20,70.6,2.0
1391,12,2016,32498,3,31022,1,200,47.9,3.0
9214,1,2016,12490,2,32969,3,30,55.4,1.4
1487,11,2016,19498,2,29049,1,200,47.9,2.0
1457,3,2016,15498,2,31226,3,30,57.6,1.4
1458,10,2016,17498,3,30738,3,145,47.9,1.4
1463,10,2016,17898,2,15982,1,30,60.1,2.0
10279,4,2016,11500,2,45478,3,125,53.3,1.4
1465,26,2016,14998,2,44069,1,30,62.8,2.0
9232,4,2016,10500,2,88230,1,0,74.3,2.0
1469,11,2016,19440,3,58767,1,200,47.1,2.0
9215,1,2016,12690,2,13742,3,30,55.4,1.4
9227,3,2016,20490,2,55781,3,200,39.8,2.0
9225,5,2016,13250,1,106000,1,200,44.8,3.0
1476,10,2016,16450,2,31000,1,30,60.1,2.0
9224,6,2016,17000,1,77700,1,125,58.9,2.0
9223,3,2016,14500,2,31000,1,20,68.9,1.6
9221,3,2016,15500,1,36181,1,20,70.6,1.6
1484,10,2016,16998,2,41910,1,145,52.3,2.0
1486,6,2016,17498,3,62000,1,30,61.4,2.0
312,1,2016,11650,2,18900,3,0,67.3,1.0
1520,3,2016,16998,3,32002,1,30,61.4,2.0
9255,26,2016,19290,2,25189,3,150,47.1,1.8
1388,7,2016,19990,3,27386,1,125,61.4,3.0
1289,4,2016,17295,3,23264,1,20,67.3,2.0
1292,1,2016,10510,2,31913,3,0,67.3,1.0
1293,26,2016,14053,2,42553,3,145,47.1,1.8
1296,5,2016,16498,3,21480,1,125,58.9,2.0
9346,1,2016,12999,2,31617,3,30,56.5,1.4
371,3,2016,19995,3,19430,3,145,47.9,2.0
370,3,2016,15995,2,14401,3,20,60.1,1.0
9331,4,2016,16490,2,32868,1,30,67.3,2.0
366,10,2016,21995,3,40254,3,205,40.4,2.0
1306,5,2016,15995,2,54000,1,145,54.3,2.0
1307,5,2016,15995,1,41100,1,125,58.9,2.0
1309,6,2016,13498,2,97729,1,30,61.4,2.0
1310,26,2016,16298,2,22697,1,30,62.8,2.0
9324,1,2016,10290,2,42500,3,0,67.3,1.0
1315,6,2016,18998,2,35000,1,30,61.4,2.0
9351,6,2016,24990,1,32000,1,165,50.4,3.0
9354,5,2016,17695,1,53000,1,145,56.5,2.0
1282,3,2016,16698,2,14115,3,30,58.9,1.4
1280,3,2016,12998,2,32923,1,20,72.4,1.6
1263,4,2016,20698,3,30374,1,145,56.5,2.0
9366,3,2016,10490,2,44000,1,20,70.6,1.6
10231,3,2016,14400,3,14298,3,30,58.9,1.4
388,3,2016,16995,2,16555,3,20,60.1,1.4
387,4,2016,19995,2,20141,1,30,67.3,2.0
9361,10,2016,17990,2,29858,1,30,60.1,2.0
383,12,2016,31995,3,48248,1,205,47.9,3.0
1317,3,2016,16998,2,20638,3,125,49.6,2.0
9360,3,2016,10990,2,57097,1,0,83.1,1.6
1271,1,2016,9619,2,58952,1,0,76.3,1.6
1273,1,2016,12991,2,21686,3,30,55.4,1.4
10243,26,2016,16400,1,71031,3,200,42.8,2.0
1276,3,2016,17998,3,18487,1,20,72.4,1.6
1277,6,2016,22798,3,14987,1,30,58.9,2.0
1278,10,2016,17998,2,9481,3,125,51.4,1.4
1279,4,2016,11698,2,72981,1,0,74.3,2.0
10239,3,2016,12695,2,22000,1,20,70.6,2.0
1318,1,2016,12798,2,19512,3,0,67.3,1.0
1319,6,2016,19998,2,26480,1,30,61.4,2.0
1320,4,2016,12998,2,68248,1,20,72.4,2.0
1358,6,2016,18498,2,31300,1,30,61.4,2.0
1361,5,2016,17498,3,37978,1,165,52.3,2.0
9277,4,2016,11000,2,84380,1,0,74.3,2.0
9275,4,2016,14000,2,48860,1,20,70.6,2.0
1366,1,2016,11990,2,14946,3,30,57.6,1.4
348,1,2016,13585,2,25010,3,30,58.9,1.4
1372,10,2016,19495,3,25204,1,145,51.4,2.0
1357,6,2016,18998,3,43565,1,125,58.9,2.0
9268,3,2016,11000,1,101860,3,30,57.6,1.4
10264,1,2016,11000,2,24689,3,0,67.3,1.0
9264,1,2016,12490,2,25103,3,0,67.3,1.0
345,1,2016,11995,2,17454,3,0,67.3,1.0
1380,3,2016,15990,3,27730,1,30,62.8,2.0
9260,4,2016,11795,2,79500,1,20,70.6,2.0
10266,4,2016,12700,2,42166,1,20,72.4,2.0
1387,3,2016,16490,3,23194,3,30,54.3,1.4
10263,4,2016,11500,2,72056,1,0,72.4,2.0
9256,11,2016,18000,1,71870,1,200,47.1,2.0
9279,6,2016,15000,1,76070,1,30,61.4,2.0
1351,5,2016,17498,3,32012,1,150,56.5,2.0
1322,3,2016,13995,2,40050,1,20,68.9,1.6
361,11,2016,31995,3,30172,1,240,42.2,3.0
9305,4,2016,17290,2,33334,1,30,67.3,2.0
1328,4,2016,16998,2,28753,1,20,68.9,2.0
9301,5,2016,21490,1,11998,1,160,51.4,2.0
9297,4,2016,17790,2,28290,1,30,67.3,2.0
357,1,2016,14495,2,20905,3,30,56.5,1.4
1353,10,2016,16998,2,39882,1,145,52.3,2.0
356,1,2016,12995,2,29283,3,0,67.3,1.0
1339,6,2016,14498,3,49458,1,30,61.4,2.0
9290,4,2016,16490,1,31072,1,20,68.9,2.0
10262,6,2016,14800,2,83023,1,125,58.9,2.0
1342,4,2016,14995,2,41100,1,0,74.3,2.0
9286,4,2016,16490,1,56919,1,20,70.6,2.0
9281,4,2016,10695,2,97150,1,20,72.4,2.0
1350,10,2016,19498,2,10855,1,160,49.6,2.0
9296,4,2016,17490,2,40164,1,30,67.3,2.0
10307,1,2016,12000,2,15167,3,0,67.3,1.0
1522,3,2016,11998,2,31952,1,0,83.1,1.6
1524,11,2016,19998,2,34189,1,200,47.9,2.0
9046,10,2016,14399,2,32726,1,30,61.4,2.0
1730,4,2016,13498,2,30090,3,125,53.3,1.4
1731,5,2016,19298,2,17272,1,125,57.6,2.0
1732,6,2016,18498,3,53832,1,30,61.4,2.0
1733,4,2016,13998,3,47791,1,0,72.4,2.0
1734,6,2016,20498,3,30451,1,200,47.1,3.0
1735,5,2016,23998,3,14991,1,160,50.4,2.0
1737,4,2016,13498,2,47350,1,20,70.6,2.0
10415,6,2016,20490,1,33647,1,150,56.5,2.0
1739,3,2016,8698,2,37123,1,20,72.4,1.6
9043,3,2016,12300,2,24259,1,20,70.6,2.0
9042,3,2016,17000,2,34890,1,30,62.8,2.0
9041,4,2016,17400,2,26862,3,125,49.6,2.0
10416,5,2016,22490,1,31987,3,265,35.8,3.0
9040,1,2016,10289,2,33560,1,0,76.3,1.6
1722,1,2016,11298,2,39021,3,30,55.4,1.4
9048,4,2016,15499,2,30595,1,20,70.6,2.0
1718,6,2016,14998,3,54813,1,30,64.2,2.0
1715,3,2016,10298,2,67959,1,0,74.3,1.6
1681,4,2016,16050,2,25276,1,30,67.3,2.0
10371,11,2016,24000,1,22682,3,235,37.7,2.0
9068,10,2016,19995,1,13483,1,160,50.4,2.0
1687,6,2016,24490,3,39507,1,160,50.4,3.0
1690,26,2016,15763,2,22883,3,160,46.3,1.8
10374,3,2016,24490,1,19561,3,165,43.5,2.0
9063,1,2016,11400,2,29606,3,0,67.3,1.0
1746,12,2016,30998,3,52793,1,200,47.9,3.0
1694,10,2016,17498,2,29602,1,145,52.3,2.0
9059,4,2016,15200,1,53342,1,30,65.7,2.0
9057,3,2016,18500,1,33391,3,200,42.8,1.8
9056,6,2016,15486,1,32657,1,125,56.5,3.0
1702,6,2016,16450,3,44887,1,20,64.2,2.0
1711,3,2016,10498,2,68294,1,0,74.3,1.6
1712,10,2016,14498,2,29744,1,30,61.4,2.0
1714,6,2016,19998,3,29738,1,30,61.4,2.0
10375,26,2016,24000,2,22353,3,240,38.7,2.0
9039,3,2016,12866,1,24672,1,30,64.2,2.0
1751,3,2016,13998,2,56457,1,20,67.3,2.0
1752,4,2016,16995,2,41443,1,30,67.3,2.0
9011,3,2016,15879,2,12067,3,20,60.1,1.4
9010,4,2016,12914,2,45799,1,20,70.6,2.0
9009,4,2016,13312,1,73471,1,30,65.7,2.0
9007,4,2016,10799,2,92064,1,20,70.6,2.0
9002,1,2016,11399,2,17608,1,0,76.3,1.6
9000,10,2016,18900,2,29777,1,160,49.6,2.0
8999,1,2016,11600,2,19645,3,0,67.3,1.0
9014,3,2016,16000,2,26991,1,20,65.7,2.0
1798,10,2016,15995,2,22515,3,125,50.4,1.4
8997,4,2016,15000,2,40187,1,0,74.3,2.0
8996,4,2016,15000,1,37004,1,20,70.6,2.0
1804,6,2016,14295,2,35047,1,30,65.7,2.0
1805,10,2016,13995,3,58406,3,145,47.9,1.4
1806,10,2016,17400,2,21331,1,145,52.3,2.0
10424,3,2016,18000,1,34222,3,30,56.5,1.4
1808,1,2016,11990,2,27706,3,30,55.4,1.4
1799,4,2016,15745,3,57828,1,30,65.7,2.0
1677,1,2016,10495,2,43000,3,0,67.3,1.0
9015,3,2016,15800,2,29563,1,20,65.7,2.0
1778,4,2016,16750,3,50715,1,30,65.7,2.0
1755,6,2016,21880,3,15559,1,150,56.5,2.0
9032,6,2016,20999,1,29987,1,125,58.9,2.0
1758,3,2016,16000,2,16837,3,20,60.1,1.4
9031,1,2016,10800,2,36639,3,30,57.6,1.4
9030,1,2016,12000,1,17358,1,0,74.3,1.6
9029,3,2016,15700,1,23592,3,30,55.4,1.4
10417,1,2016,12290,2,22990,3,0,67.3,1.0
9016,1,2016,9499,2,48297,1,0,80.7,1.6
9027,4,2016,16800,2,36459,1,30,67.3,2.0
9023,6,2016,17199,1,55162,1,30,61.4,2.0
1770,1,2016,9995,2,28790,3,0,67.3,1.0
9019,1,2016,9432,2,38673,1,0,76.3,1.6
10421,8,2016,33000,1,33063,3,330,30.1,4.0
9018,6,2016,13502,2,50900,1,30,65.7,2.0
9017,5,2016,13100,2,44531,1,20,67.3,2.0
1777,4,2016,14495,2,66000,1,30,67.3,2.0
9025,4,2016,15500,2,29454,1,0,74.3,2.0
9072,1,2016,11199,1,21246,3,20,64.2,1.0
1665,4,2016,15998,2,34581,1,30,67.3,2.0
9080,4,2016,13676,2,46665,1,20,70.6,2.0
10324,3,2016,11200,2,83467,3,20,60.1,1.4
9151,4,2016,16490,2,35916,1,20,68.9,2.0
1551,4,2016,14995,2,30578,1,0,74.3,2.0
1554,3,2016,16298,2,33279,3,30,60.1,1.4
9142,3,2016,16290,1,39255,1,20,70.6,1.6
10342,11,2016,26000,1,19000,3,235,37.7,2.0
9133,5,2016,21490,1,40001,1,160,50.4,2.0
274,10,2016,18698,2,26474,1,145,52.3,2.0
9131,1,2016,10499,2,34886,1,0,76.3,1.6
1568,3,2016,13999,3,28307,1,20,72.4,1.6
9130,3,2016,11999,2,31223,1,20,67.3,2.0
9129,4,2016,13375,2,33007,1,20,72.4,2.0
9128,6,2016,16999,1,53531,1,30,61.4,2.0
9127,3,2016,10999,2,36281,1,0,74.3,1.6
10349,11,2016,20700,1,33785,1,200,47.1,2.0
9124,5,2016,19690,1,44717,1,160,50.4,2.0
1567,10,2016,18990,3,30245,1,165,50.4,2.0
1587,1,2016,13888,2,16327,3,30,56.5,1.4
9154,11,2016,25690,1,35506,3,235,37.7,2.0
10314,6,2016,15200,1,39314,1,30,64.2,2.0
9171,11,2016,21490,1,37870,1,205,47.1,2.0
1527,1,2016,9498,2,48889,1,0,76.3,1.6
1529,1,2016,13170,2,22225,3,30,56.5,1.4
1530,15,2016,28991,3,28083,3,300,34.9,2.5
10309,4,2016,13900,2,37448,3,125,49.6,2.0
9169,3,2016,15990,2,42395,3,30,60.1,1.4
9168,12,2016,28990,1,77818,1,200,47.9,3.0
10317,11,2016,33000,1,12050,1,240,42.2,3.0
1533,10,2016,17790,3,24020,3,145,47.9,1.4
10310,1,2016,11200,2,29227,3,30,55.4,1.4
1538,6,2016,16990,2,35421,1,30,64.2,2.0
1539,10,2016,16290,2,38578,3,145,49.6,1.4
9165,11,2016,27490,1,74896,1,235,42.2,3.0
284,12,2016,47995,3,46600,1,300,39.2,4.0
283,10,2016,19995,3,31600,1,160,50.4,2.0
9157,4,2016,17290,1,37534,1,20,67.3,2.0
1535,10,2016,15990,2,25647,1,30,62.8,2.0
392,3,2016,13995,2,36409,3,20,60.1,1.4
1588,10,2016,16990,3,42583,1,150,51.4,2.0
254,1,2016,11495,2,32867,3,0,67.3,1.0
1623,4,2016,14998,2,33303,1,20,72.4,2.0
1624,1,2016,11200,2,29819,3,0,67.3,1.0
9101,3,2016,10999,2,38537,1,20,68.9,2.0
1636,11,2016,28498,3,46843,1,235,42.2,3.0
1637,6,2016,16498,2,62668,1,30,61.4,2.0
1639,26,2016,16490,2,40601,1,30,61.4,2.0
9097,5,2016,19499,1,21968,1,145,56.5,2.0
1618,6,2016,19998,3,29067,1,30,61.4,2.0
10358,1,2016,13100,2,13022,3,30,55.4,1.4
10359,1,2016,9500,2,37008,1,0,76.3,1.6
9090,1,2016,10999,2,19865,1,0,76.3,1.6
9089,4,2016,17699,2,17855,1,30,64.2,2.0
9085,3,2016,11646,2,29613,1,0,83.1,1.6
9084,1,2016,12046,2,54150,3,30,58.9,1.4
9083,3,2016,10955,2,37920,1,20,68.9,2.0
9081,3,2016,11871,2,52519,1,20,72.4,1.6
9093,3,2016,16900,1,32707,3,200,42.8,1.8
10355,1,2016,11500,2,15567,1,0,76.3,1.6
1616,6,2016,19298,3,32951,1,30,58.9,2.0
1612,5,2016,20498,3,46512,3,260,35.8,3.0
1590,12,2016,30790,3,14727,1,160,48.7,3.0
1591,6,2016,18990,3,50687,1,145,56.5,2.0
253,3,2016,12995,2,25895,1,20,70.6,2.0
1595,10,2016,15998,2,18419,3,125,50.4,1.4
1597,6,2016,19998,3,26157,1,125,56.5,3.0
9116,1,2016,11299,2,23307,3,0,67.3,1.0
9115,11,2016,17550,1,75891,1,200,47.1,2.0
9108,10,2016,17491,3,45128,1,160,50.4,2.0
1602,11,2016,19000,2,23314,3,240,37.2,2.0
1605,26,2016,16289,2,22688,3,145,47.1,1.8
251,4,2016,17998,2,20885,1,30,64.2,2.0
249,4,2016,18498,3,29845,3,160,45.6,2.0
9111,5,2016,24991,1,41677,3,235,38.2,3.0
9110,4,2016,11991,2,71734,1,20,70.6,2.0
10357,1,2016,11500,2,17397,3,30,55.4,1.4
9109,3,2016,29991,3,46324,3,300,34.9,2.5
9114,4,2016,12799,2,75494,1,30,64.2,2.0
1249,5,2016,14998,3,42852,1,125,58.9,2.0
1246,5,2016,16498,3,49429,1,20,70.6,2.0
9381,1,2016,11490,2,31436,3,0,67.3,1.0
581,1,2016,15495,2,31147,3,30,56.5,1.4
10042,11,2016,18099,1,89165,1,200,47.9,2.0
824,10,2016,18998,3,32968,1,160,50.4,2.0
9839,4,2016,11749,1,82028,3,30,55.4,2.0
10045,3,2016,12199,2,82023,1,20,70.6,1.6
9838,1,2016,10999,2,31583,1,0,76.3,1.6
9836,5,2016,19799,1,23449,1,145,56.5,2.0
9834,5,2016,11259,2,84523,1,20,67.3,2.0
9833,6,2016,14999,2,30167,1,30,65.7,2.0
835,4,2016,15498,2,27370,1,30,64.2,2.0
573,1,2016,13995,2,8577,3,30,55.4,1.4
839,1,2016,13688,2,26165,3,30,55.4,1.4
841,6,2016,16490,2,44316,1,30,64.2,2.0
845,3,2016,12990,2,35694,3,20,60.1,1.0
847,4,2016,13998,2,19285,3,125,53.3,1.4
9841,1,2016,10699,2,16569,3,0,67.3,1.0
9842,1,2016,9999,2,31282,3,0,67.3,1.0
10039,3,2016,17850,1,33808,1,125,57.6,2.0
586,1,2016,13995,2,31031,3,30,56.5,1.4
9849,3,2016,13999,2,17363,3,20,60.1,1.4
803,1,2016,10994,2,36951,3,0,67.3,1.0
598,3,2016,14998,2,1893,3,20,60.1,1.4
597,3,2016,13498,2,30287,3,20,60.1,1.4
805,4,2016,15495,2,32811,1,0,74.3,2.0
9848,4,2016,13499,2,54327,1,20,70.6,2.0
807,1,2016,11695,2,22373,3,30,55.4,1.4
9823,6,2016,13999,2,44273,1,30,65.7,2.0
9847,3,2016,11999,1,36714,1,0,74.3,1.6
812,6,2016,20000,3,24000,1,30,61.4,2.0
592,1,2016,12995,2,42165,3,30,56.5,1.4
591,1,2016,12995,2,11892,3,0,67.3,1.0
590,4,2016,19995,3,23626,3,160,45.6,2.0
9844,3,2016,14295,1,63180,1,125,57.6,2.0
589,1,2016,15495,2,15307,3,30,55.4,1.4
817,11,2016,29998,3,38678,1,235,42.2,3.0
595,12,2016,48995,1,41032,1,300,39.2,4.0
9821,1,2016,10999,1,52865,1,0,76.3,1.6
9820,4,2016,12499,2,31182,3,125,53.3,1.4
571,4,2016,13998,2,37478,1,0,74.3,2.0
905,8,2016,26000,3,25691,1,200,47.9,3.0
906,15,2016,29888,3,29920,3,300,34.9,2.5
909,3,2016,17988,3,24406,3,125,48.7,2.0
917,26,2016,17498,2,20674,3,160,46.3,2.0
920,1,2016,13498,2,21160,3,30,55.4,1.4
925,5,2016,22750,1,36399,1,125,60.1,3.0
926,11,2016,26990,3,46401,1,235,42.8,3.0
9776,1,2016,14999,1,18251,3,30,70.6,1.4
9764,10,2016,15499,1,52521,1,145,54.3,2.0
553,26,2016,16995,2,29593,1,30,62.8,2.0
9763,1,2016,11499,2,21596,3,0,67.3,1.0
552,1,2016,13495,2,23745,3,30,57.6,1.4
9762,3,2016,13995,2,31558,3,20,60.1,1.4
932,3,2016,11498,2,47205,3,20,60.1,1.0
934,3,2016,16400,2,24102,3,30,60.1,1.4
935,4,2016,13498,2,37251,3,145,51.4,1.4
557,1,2016,10995,2,45644,1,0,80.7,1.6
600,26,2016,15498,2,34084,1,30,62.8,2.0
9782,4,2016,14799,2,39989,1,0,74.3,2.0
9786,6,2016,15853,2,55258,1,30,61.4,2.0
568,10,2016,18499,3,30366,1,160,50.4,2.0
566,4,2016,13985,2,55697,1,20,70.6,2.0
9817,3,2016,10799,2,36851,1,0,83.1,1.6
564,11,2016,28995,3,42187,1,235,42.8,3.0
9813,4,2016,14599,2,14380,1,0,74.3,2.0
10050,1,2016,13495,1,33800,3,30,57.6,1.4
9803,4,2016,14899,1,49093,1,30,64.2,2.0
9784,4,2016,12499,2,58204,1,0,72.4,2.0
9802,5,2016,14999,1,53085,1,145,53.3,2.0
874,1,2016,10988,2,40468,3,30,55.4,1.4
9801,26,2016,16499,2,16917,3,145,47.1,1.8
9800,1,2016,10299,2,34291,1,0,76.3,1.6
9793,3,2016,14799,2,51091,1,20,65.7,2.0
888,5,2016,16390,3,28555,1,125,58.9,2.0
559,11,2016,33995,3,29156,1,235,42.2,3.0
892,10,2016,15888,2,52034,1,145,52.3,2.0
561,10,2016,15998,2,15264,1,30,61.4,2.0
10032,3,2016,13995,1,18833,3,20,62.8,1.0
604,4,2016,11500,2,56235,1,0,74.3,2.0
799,26,2016,14998,2,39293,1,30,62.8,2.0
698,10,2016,16995,3,52496,1,160,50.4,2.0
699,6,2016,18350,1,52255,1,30,61.4,2.0
701,12,2016,12500,3,26705,1,200,47.9,3.0
9960,1,2016,8500,2,64910,1,0,76.3,1.6
702,1,2016,12500,2,26705,3,30,58.9,1.4
9961,4,2016,12795,1,120470,1,30,61.4,2.0
9930,1,2016,12499,2,17392,3,30,55.4,1.4
9958,4,2016,13295,1,44660,1,0,72.4,2.0
660,26,2016,17995,2,24256,3,145,47.1,1.8
704,10,2016,18000,3,11966,3,145,47.9,1.4
655,10,2016,19498,2,14419,1,145,52.3,2.0
705,3,2016,14500,2,34728,3,30,57.6,1.4
654,1,2016,11498,2,22669,3,30,57.6,1.4
653,3,2016,11990,2,61332,1,20,68.9,2.0
9920,1,2016,13500,1,29211,1,0,76.3,1.6
712,10,2016,20495,3,28994,1,160,50.4,2.0
658,6,2016,22500,3,26784,1,150,54.3,2.0
9968,3,2016,14495,2,43201,1,20,67.3,2.0
665,4,2016,24495,1,40688,3,160,42.8,2.0
9935,1,2016,12999,2,22085,3,30,55.4,1.4
9949,3,2016,13299,1,67392,1,20,68.9,1.6
9951,1,2016,11869,2,22368,3,0,67.3,1.0
675,1,2016,11995,2,38502,3,30,57.6,1.4
676,1,2016,12995,2,36276,3,30,55.4,1.4
671,10,2016,20495,3,25125,1,160,50.4,2.0
679,1,2016,11995,2,22606,3,30,57.6,1.4
9943,3,2016,11695,2,88140,1,20,67.3,2.0
9956,3,2016,16000,1,57407,1,125,57.6,2.0
9954,11,2016,30000,1,43009,1,235,42.2,3.0
9955,11,2016,29300,1,39671,1,235,42.2,3.0
683,5,2016,16995,2,26307,1,125,60.1,2.0
684,12,2016,33995,3,34685,1,200,47.9,3.0
685,5,2016,18995,2,34728,1,125,57.6,2.0
9939,4,2016,14099,2,65106,1,20,70.6,2.0
9936,4,2016,13899,1,40568,1,20,70.6,2.0
692,4,2016,15998,2,21944,3,125,49.6,2.0
9942,10,2016,11295,2,92950,1,145,53.3,2.0
936,1,2016,11698,2,11578,3,0,67.3,1.0
9971,10,2016,19000,2,19821,1,165,49.6,2.0
9996,4,2016,14500,1,37290,1,0,72.4,2.0
10013,3,2016,16950,1,26000,1,125,61.4,2.0
9873,11,2016,20499,1,36358,1,200,47.1,2.0
765,1,2016,11495,2,8000,3,0,67.3,1.0
9869,6,2016,19465,1,69807,1,125,58.9,2.0
10018,12,2016,30500,1,41348,1,205,47.9,3.0
772,10,2016,17698,3,22168,3,145,47.9,1.4
773,1,2016,10998,2,24242,3,0,67.3,1.0
10011,4,2016,11195,2,83490,1,20,70.6,2.0
9863,10,2016,15995,2,22000,1,30,61.4,2.0
9861,3,2016,11419,2,36699,3,30,57.6,1.2
10024,4,2016,14699,2,43124,1,20,72.4,2.0
783,10,2016,16998,2,27692,3,145,49.6,1.4
611,9,2016,19995,2,23426,3,125,50.4,1.4
9856,1,2016,11599,2,34980,1,0,76.3,1.6
795,6,2016,17498,3,24405,1,20,64.2,2.0
9851,11,2016,17299,1,47614,1,200,48.7,2.0
775,6,2016,17298,2,31759,1,30,61.4,2.0
9972,4,2016,16850,2,37303,1,30,67.3,2.0
9888,3,2016,10799,2,41165,1,0,83.1,1.6
10010,6,2016,11000,2,107150,1,30,61.4,2.0
639,4,2016,13995,2,41279,1,0,74.3,2.0
9999,3,2016,18000,2,18668,3,125,49.6,2.0
9909,4,2016,15699,2,45100,1,30,67.3,2.0
10000,10,2016,16750,1,36617,1,165,50.4,2.0
9903,10,2016,19299,2,20183,1,145,52.3,2.0
731,4,2016,18000,2,23596,3,145,48.7,2.0
737,10,2016,19000,2,28186,1,145,52.3,2.0
9889,3,2016,12599,2,33622,3,20,60.1,1.4
738,10,2016,16995,3,37000,1,145,54.3,2.0
741,10,2016,17395,2,34500,1,160,49.6,2.0
634,4,2016,21995,3,47600,1,145,56.5,2.0
9892,4,2016,14799,2,51075,1,30,62.8,2.0
9891,12,2016,29499,1,43380,1,200,47.9,3.0
10003,3,2016,13000,1,72800,2,0,176.6,1.4
629,11,2016,21995,3,26500,1,200,47.1,2.0
10009,4,2016,13295,1,86910,1,30,67.3,2.0
740,11,2016,31495,3,31031,1,235,42.2,3.0
1809,3,2016,13250,2,30928,1,20,67.3,2.0
9760,1,2016,11995,2,12000,3,0,67.3,1.0
941,1,2016,12798,2,30334,3,30,55.4,1.4
9506,5,2016,18490,2,38856,1,145,56.5,2.0
9505,3,2016,13990,2,30736,3,30,58.9,1.4
9494,4,2016,13995,2,83020,1,30,64.2,2.0
9485,1,2016,11990,2,26895,3,30,57.6,1.4
9472,26,2016,18790,2,20052,3,160,46.3,2.0
1182,3,2016,17996,2,14514,3,30,60.1,1.4
9460,3,2016,14345,2,33719,3,30,58.9,1.4
10134,26,2016,26000,1,19494,3,205,40.9,2.0
10138,12,2016,32500,1,32486,1,205,47.9,3.0
1189,4,2016,15556,3,25540,3,30,55.4,2.0
493,10,2016,21995,3,28526,1,160,50.4,2.0
10145,18,2016,44950,1,29000,3,325,29.4,4.0
1190,12,2016,42996,3,44071,1,300,39.2,4.0
9454,1,2016,11645,2,20257,3,0,67.3,1.0
1192,4,2016,15596,2,16666,1,0,74.3,2.0
9532,1,2016,12490,2,12900,3,0,67.3,1.0
9533,1,2016,14245,2,21516,3,30,58.9,1.4
9534,4,2016,17990,2,40500,1,30,67.3,2.0
9546,10,2016,16450,3,63938,1,160,50.4,2.0
9611,4,2016,18950,1,15135,1,20,67.3,2.0
10088,10,2016,19495,1,15815,1,145,51.4,2.0
9595,1,2016,11950,2,49470,3,30,55.4,1.4
527,4,2016,17495,3,41505,1,20,67.3,2.0
9591,6,2016,18950,1,31931,1,125,57.6,2.0
1140,11,2016,20256,2,33423,1,200,47.9,2.0
1141,1,2016,12996,2,15121,3,30,56.5,1.4
9441,1,2016,12790,2,15352,1,0,76.3,1.6
1142,1,2016,10996,2,25783,3,30,57.6,1.4
10105,12,2016,30000,1,50536,1,205,47.9,3.0
519,1,2016,14995,2,13961,3,30,58.9,1.4
518,5,2016,16995,2,41497,1,125,57.6,2.0
1153,3,2016,14991,2,25556,3,20,60.1,1.4
9557,3,2016,15995,3,22219,3,30,58.9,1.4
1158,3,2016,11896,3,36329,3,30,58.9,1.4
9547,26,2016,15995,2,52653,1,30,62.8,2.0
10104,3,2016,15650,2,35437,1,20,67.3,2.0
9436,11,2016,31990,1,44705,1,235,42.2,3.0
10159,11,2016,21995,3,37000,1,200,47.1,2.0
1199,12,2016,29498,3,36816,1,160,48.7,3.0
9399,1,2016,11990,1,23000,1,0,74.3,1.6
9398,11,2016,23795,1,73156,1,240,42.8,3.0
412,10,2016,18495,2,20952,1,145,55.4,2.0
411,11,2016,31995,3,44525,1,235,42.2,3.0
1224,3,2016,16498,2,30692,3,30,60.1,1.4
10215,3,2016,10999,3,38000,1,20,70.6,1.6
1232,3,2016,15498,3,47322,1,30,61.4,2.0
424,1,2016,11498,2,24952,3,30,55.4,1.4
1233,15,2016,24998,3,50661,3,300,34.9,2.5
8272,1,2016,12999,2,18758,1,20,72.4,1.6
1237,10,2016,15998,2,45876,1,30,60.1,2.0
10219,4,2016,18950,1,56000,1,125,60.1,3.0
1239,1,2016,14998,3,15434,3,30,70.6,1.4
397,11,2016,30995,3,37129,1,235,42.2,3.0
1240,10,2016,12998,2,67643,1,30,61.4,2.0
1243,11,2016,22498,3,27848,1,200,47.1,2.0
1236,10,2016,17498,2,19268,1,30,60.1,2.0
9612,10,2016,20950,2,20719,1,160,49.6,2.0
1217,12,2016,21998,3,64668,1,165,48.7,3.0
1213,12,2016,30996,1,33747,1,200,47.9,3.0
9424,5,2016,17495,2,27416,1,125,58.9,2.0
479,11,2016,33995,3,23478,1,235,42.2,3.0
10161,11,2016,20000,3,40905,1,205,47.1,2.0
